SAMPLE_ID,VOUCHER,GENUS,SPECIES,mtDNA_LINEAGE,nDNA_LINEAGE,LOCATION,STATE,LAT,LON,ddRAD_SRA,cytb_NCBI
NTMR_18324_Ct_alac,NTMR_18324,Ctenotus,alacer,alacer,,Arltunga,NT,-23.45,134.683333,,KJ504985.1
NA_ABTC24115_Ct_alac,,Ctenotus,alacer,alacer,,MacDonnell Ranges,NT,,,,KJ505250.1
NA_DLR0149_Ct_aria,,Ctenotus,ariadnae,ariadnae1,,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,,HQ332271.1
NA_DLR0011_Ct_aria,,Ctenotus,ariadnae,ariadnae1,,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,,KJ505255.1
CUMV_14811_Ct_aria,CUMV_14811,Ctenotus,ariadnae,ariadnae1,ariadnae,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,SAMN06709597,TBD
CUMV_14812_Ct_aria,CUMV_14812,Ctenotus,ariadnae,ariadnae1,ariadnae,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,SAMN06709598,TBD
SAMAR_35025_Ct_aria,SAMAR_35025,Ctenotus,ariadnae,ariadnae2,ariadnae,12k S Bloodweed Bore,SA,-26.95,140.95,SAMN06709741,TBD
SAMAR_38117_Ct_aria,SAMAR_38117,Ctenotus,ariadnae,ariadnae2,ariadnae,1.5k SE Purni Bore,SA,-26.28333,136.1,SAMN06709750,TBD
SAMAR_45960_Ct_aria,SAMAR_45960,Ctenotus,ariadnae,dux,ariadnae,8k NW Kunytjanu,SA,-26.615,129.3139,SAMN06709782,TBD
WAMR_126380_Ct_atla,WAMR_126380,Ctenotus,atlas,atlas,,BUNGALBIN SANDPLAIN,WA,-30.252,119.792222,,GQ241585.1
SAMR_57650_Ct_atla,SAMR_57650,Ctenotus,atlas,decaneurus4,atlas,23.5k NNE Sheoak Hill,SA,-33.186389,136.843889,SAMN06709912,KJ504994.1
WAMR_145379_Ct_atla,WAMR_145379,Ctenotus,atlas,atlas,,GOONGARRIE STATION,WA,-29.844,120.959444,,KJ505258.1
NA_ABTC10460_Ct_atla,,Ctenotus,atlas,atlas,,Officer Basin,WA,-29.967,123.7667,,KJ505829.1
NA_ABTC10469_Ct_atla,,Ctenotus,atlas,atlas,,Officer Basin,WA,-29.967,123.7667,,KJ505830.1
NA_ABTC10471_Ct_atla,,Ctenotus,atlas,atlas,,Officer Basin,WA,-29.967,123.7667,,KJ505831.1
NA_ABTC10477_Ct_atla,,Ctenotus,atlas,atlas,,Officer Basin,WA,-29.967,123.7667,,KJ505832.1
SAMR_45544_Ct_atla,SAMR_45544,Ctenotus,atlas,atlas,,6k NNE Inila Rockwater,SA,-31.73,133.4506,,KJ505833.1
SAMR_45581_Ct_atla,SAMR_45581,Ctenotus,atlas,atlas,,25k WNW Inila Rockwater,SA,-31.741,133.1522,,KJ505834.1
NA_ABTC41321_Ct_atla,,Ctenotus,atlas,atlas,,38k ENE Laverton,WA,,,,KJ505835.1
NA_ABTC41322_Ct_atla,,Ctenotus,atlas,atlas,,38k ENE Laverton,WA,,,,KJ505836.1
SAMR_31899_Ct_atla,SAMR_31899,Ctenotus,atlas,atlas,atlas,Pinjarra Dam,SA,-32.15,134.6317,SAMN20838065,KJ505837.1
SAMR_20811_Ct_atla,SAMR_20811,Ctenotus,atlas,atlas,,Access Road to Stock Route,SA,-32.883,135.9833,,KJ505838.1
